HNRNPK,TARDBP,NEAT1_position
,,355
,,356
,,357
,,358
,,359
,,360
,,361
,,362
,,363
,,364
,,365
,,366
,,367
,,368
,,369
,,370
,,371
,,372
,,373
,,374
,,375
,,376
,,377
,,378
,,379
,,380
,,381
,,382
,,383
,,384
,,385
,,386
,,387
,,388
,,389
,,390
,,391
,,392
,,393
,,394
,,395
,,396
,,397
,,398
,,399
,,400
,,401
,,402
,,403
,,404
,,405
,,406
,,407
,,408
,,409
,,410
,,411
,,412
,,413
,,414
,,415
,,416
,,417
,,418
,,419
,,420
,,421
,,422
,,423
,,424
,,425
,,426
,,427
,,428
,,429
,,430
,,431
,,432
,,433
,,434
,,435
,,436
,,437
,,438
,,439
,,440
,,441
,,442
,,443
,,444
,,445
,,446
,,447
,,448
,,449
,,450
,,451
,,452
,,453
,,454
,,455
,,456
,,457
,,458
,,459
,,460
,,461
,,462
,,463
,,464
,,465
,,466
,,467
,,468
,,469
,,470
,,471
,,472
,,473
,,474
,,475
,,476
,,477
,,478
,,479
,,480
,,481
,,482
,,483
,,484
,,485
,,486
,,487
,,488
,,489
,,490
,,491
,,492
,,493
,,494
,,495
,,496
,,497
,,498
,,499
5.142857142857142,8.142857142857142,500
5.142857142857142,8.142857142857142,501
5.142857142857142,8.142857142857142,502
5.142857142857142,8.142857142857142,503
5.142857142857142,8.142857142857142,504
5.142857142857142,8.142857142857142,505
5.142857142857142,8.142857142857142,506
5.142857142857142,8.142857142857142,507
5.142857142857142,8.142857142857142,508
5.142857142857142,8.142857142857142,509
5.142857142857142,8.142857142857142,510
5.142857142857142,8.142857142857142,511
5.142857142857142,8.142857142857142,512
5.142857142857142,8.142857142857142,513
5.142857142857142,8.142857142857142,514
5.142857142857142,8.142857142857142,515
5.142857142857142,8.142857142857142,516
5.142857142857142,8.142857142857142,517
5.142857142857142,8.142857142857142,518
5.142857142857142,8.142857142857142,519
5.142857142857142,8.142857142857142,520
5.142857142857142,8.142857142857142,521
5.142857142857142,8.142857142857142,522
5.142857142857142,8.142857142857142,523
6.142857142857142,8.142857142857142,524
6.142857142857142,8.142857142857142,525
6.142857142857142,7.999999999999999,526
6.142857142857142,7.999999999999999,527
6.142857142857142,7.857142857142857,528
6.142857142857142,7.857142857142857,529
6.142857142857142,7.7142857142857135,530
6.142857142857142,7.7142857142857135,531
6.142857142857142,7.7142857142857135,532
6.142857142857142,6.857142857142857,533
6.142857142857142,6.857142857142857,534
6.142857142857142,6.857142857142857,535
6.142857142857142,6.857142857142857,536
6.142857142857142,6.857142857142857,537
6.142857142857142,6.7142857142857135,538
6.142857142857142,6.7142857142857135,539
6.142857142857142,6.7142857142857135,540
6.142857142857142,6.7142857142857135,541
6.142857142857142,6.7142857142857135,542
6.142857142857142,6.7142857142857135,543
6.142857142857142,6.7142857142857135,544
6.142857142857142,6.7142857142857135,545
6.142857142857142,6.7142857142857135,546
6.142857142857142,6.7142857142857135,547
6.142857142857142,6.7142857142857135,548
6.142857142857142,6.7142857142857135,549
6.142857142857142,6.7142857142857135,550
6.142857142857142,6.7142857142857135,551
6.142857142857142,6.7142857142857135,552
6.142857142857142,6.7142857142857135,553
6.142857142857142,6.7142857142857135,554
6.142857142857142,6.7142857142857135,555
6.142857142857142,6.7142857142857135,556
6.142857142857142,6.7142857142857135,557
6.142857142857142,6.7142857142857135,558
6.142857142857142,6.7142857142857135,559
6.142857142857142,6.7142857142857135,560
6.142857142857142,6.7142857142857135,561
6.142857142857142,6.7142857142857135,562
6.142857142857142,6.7142857142857135,563
6.142857142857142,6.7142857142857135,564
6.142857142857142,6.7142857142857135,565
6.142857142857142,6.7142857142857135,566
6.142857142857142,6.7142857142857135,567
6.142857142857142,6.7142857142857135,568
6.142857142857142,6.7142857142857135,569
6.142857142857142,6.7142857142857135,570
6.142857142857142,6.7142857142857135,571
6.142857142857142,6.7142857142857135,572
6.142857142857142,6.7142857142857135,573
6.142857142857142,6.7142857142857135,574
6.142857142857142,6.7142857142857135,575
6.142857142857142,6.7142857142857135,576
6.142857142857142,6.7142857142857135,577
6.142857142857142,6.7142857142857135,578
6.142857142857142,6.7142857142857135,579
6.142857142857142,6.7142857142857135,580
6.142857142857142,6.7142857142857135,581
6.142857142857142,6.7142857142857135,582
6.142857142857142,6.7142857142857135,583
6.142857142857142,6.7142857142857135,584
6.142857142857142,6.7142857142857135,585
6.142857142857142,7.57142857142857,586
6.142857142857142,7.7142857142857135,587
6.142857142857142,7.7142857142857135,588
6.142857142857142,7.857142857142856,589
6.142857142857142,7.857142857142856,590
6.142857142857142,7.857142857142856,591
6.142857142857142,7.857142857142856,592
6.142857142857142,7.999999999999999,593
6.142857142857142,7.999999999999999,594
6.142857142857142,7.999999999999999,595
6.142857142857142,7.999999999999999,596
6.142857142857142,7.999999999999999,597
6.142857142857142,7.999999999999999,598
6.142857142857142,7.999999999999999,599
6.142857142857142,7.999999999999999,600
6.142857142857142,7.999999999999999,601
6.142857142857142,7.999999999999999,602
6.142857142857142,8.142857142857142,603
6.142857142857142,8.142857142857142,604
6.142857142857142,8.142857142857142,605
6.142857142857142,8.142857142857142,606
6.142857142857142,8.142857142857142,607
6.142857142857142,8.142857142857142,608
6.142857142857142,8.142857142857142,609
6.142857142857142,8.142857142857142,610
6.142857142857142,8.142857142857142,611
6.142857142857142,8.142857142857142,612
6.142857142857142,8.142857142857142,613
6.142857142857142,8.142857142857142,614
6.142857142857142,8.142857142857142,615
6.142857142857142,8.142857142857142,616
6.142857142857142,8.142857142857142,617
6.142857142857142,8.142857142857142,618
6.142857142857142,8.142857142857142,619
6.142857142857142,8.142857142857142,620
6.142857142857142,8.142857142857142,621
6.142857142857142,8.142857142857142,622
6.142857142857142,8.142857142857142,623
6.142857142857142,8.142857142857142,624
6.142857142857142,8.142857142857142,625
6.142857142857142,8.142857142857142,626
6.142857142857142,8.0,627
6.142857142857142,8.0,628
6.142857142857142,7.857142857142857,629
6.142857142857142,7.857142857142857,630
6.142857142857142,7.857142857142857,631
6.142857142857142,7.0,632
6.142857142857142,7.0,633
6.142857142857142,7.0,634
6.142857142857142,7.0,635
6.142857142857142,7.0,636
6.142857142857142,7.0,637
6.142857142857142,7.0,638
6.142857142857142,7.0,639
6.142857142857142,7.0,640
6.142857142857142,7.0,641
6.142857142857142,7.0,642
6.142857142857142,7.0,643
6.142857142857142,7.0,644
6.142857142857142,7.0,645
6.142857142857142,7.0,646
6.142857142857142,7.0,647
6.142857142857142,7.0,648
6.142857142857142,7.0,649
6.142857142857142,7.0,650
6.142857142857142,7.0,651
6.142857142857142,7.0,652
6.142857142857142,7.0,653
6.142857142857142,7.0,654
6.142857142857142,7.0,655
6.142857142857142,7.0,656
6.142857142857142,7.0,657
6.142857142857142,7.0,658
6.142857142857142,7.0,659
6.142857142857142,7.0,660
6.142857142857142,7.0,661
6.142857142857142,7.0,662
6.142857142857142,7.0,663
6.142857142857142,7.0,664
6.142857142857142,7.0,665
6.142857142857142,7.0,666
6.142857142857142,7.0,667
6.142857142857142,7.0,668
6.142857142857142,7.0,669
6.142857142857142,7.0,670
6.142857142857142,7.0,671
6.142857142857142,7.0,672
6.142857142857142,7.0,673
6.142857142857142,7.0,674
6.142857142857142,7.0,675
6.142857142857142,7.0,676
6.142857142857142,7.0,677
6.142857142857142,7.0,678
6.142857142857142,7.0,679
6.142857142857142,7.0,680
6.142857142857142,7.0,681
6.142857142857142,7.0,682
6.142857142857142,7.0,683
6.142857142857142,7.0,684
6.142857142857142,7.0,685
6.142857142857142,7.0,686
6.142857142857142,7.0,687
6.142857142857142,7.0,688
6.142857142857142,7.0,689
6.142857142857142,7.0,690
6.142857142857142,7.0,691
6.142857142857142,7.0,692
6.142857142857142,7.0,693
6.142857142857142,7.0,694
6.142857142857142,7.0,695
6.142857142857142,7.0,696
6.142857142857142,7.0,697
6.142857142857142,7.0,698
6.142857142857142,7.0,699
6.142857142857142,7.0,700
6.142857142857142,7.0,701
6.142857142857142,7.0,702
6.142857142857142,7.0,703
6.142857142857142,7.0,704
6.142857142857142,7.0,705
6.142857142857142,7.0,706
6.142857142857142,7.0,707
6.142857142857142,7.0,708
6.142857142857142,7.0,709
6.142857142857142,7.0,710
7.0,7.0,711
7.0,7.0,712
7.0,7.0,713
7.0,7.0,714
7.0,7.0,715
7.0,7.0,716
7.0,7.0,717
7.0,7.0,718
7.0,7.0,719
7.0,7.857142857142857,720
7.0,7.857142857142857,721
7.0,7.857142857142857,722
7.0,7.857142857142857,723
7.0,7.857142857142857,724
7.0,7.857142857142857,725
7.0,7.857142857142857,726
7.0,7.857142857142857,727
7.0,7.857142857142857,728
7.0,7.857142857142857,729
7.0,7.857142857142857,730
7.0,7.857142857142857,731
7.0,7.857142857142857,732
7.0,7.857142857142857,733
7.0,7.857142857142857,734
7.0,7.857142857142857,735
7.0,7.857142857142857,736
7.0,7.857142857142857,737
7.0,7.857142857142857,738
7.0,7.857142857142857,739
7.0,7.857142857142857,740
7.0,7.857142857142857,741
7.0,7.857142857142857,742
7.0,7.857142857142857,743
7.0,7.857142857142857,744
6.857142857142857,7.857142857142857,745
6.857142857142857,7.857142857142857,746
6.857142857142857,7.857142857142857,747
6.857142857142857,7.857142857142857,748
6.857142857142857,7.857142857142857,749
6.857142857142857,7.857142857142857,750
6.857142857142857,7.857142857142857,751
6.857142857142857,7.857142857142857,752
6.857142857142857,7.857142857142857,753
6.857142857142857,7.857142857142857,754
6.857142857142857,7.857142857142857,755
6.857142857142857,7.857142857142857,756
6.857142857142857,7.857142857142857,757
6.857142857142857,7.857142857142857,758
6.857142857142857,7.857142857142857,759
6.857142857142857,7.857142857142857,760
6.857142857142857,7.857142857142857,761
6.857142857142857,7.857142857142857,762
6.857142857142857,7.857142857142857,763
6.857142857142857,7.857142857142857,764
6.857142857142857,7.857142857142857,765
6.857142857142857,7.857142857142857,766
6.857142857142857,7.857142857142857,767
6.857142857142857,7.857142857142857,768
6.857142857142857,7.857142857142857,769
6.857142857142857,7.857142857142857,770
6.857142857142857,7.857142857142857,771
6.857142857142857,7.857142857142857,772
6.857142857142857,7.857142857142857,773
6.857142857142857,7.857142857142857,774
6.857142857142857,7.857142857142857,775
6.857142857142857,7.857142857142857,776
6.857142857142857,7.857142857142857,777
6.857142857142857,7.857142857142857,778
6.857142857142857,7.857142857142857,779
6.857142857142857,7.857142857142857,780
6.857142857142857,7.857142857142857,781
6.857142857142857,7.857142857142857,782
6.857142857142857,7.857142857142857,783
6.857142857142857,7.857142857142857,784
6.857142857142857,7.857142857142857,785
6.857142857142857,7.857142857142857,786
6.857142857142857,7.857142857142857,787
6.857142857142857,7.857142857142857,788
6.857142857142857,7.857142857142857,789
6.857142857142857,7.857142857142857,790
6.857142857142857,7.857142857142857,791
6.857142857142857,7.857142857142857,792
6.857142857142857,7.857142857142857,793
6.857142857142857,7.857142857142857,794
6.857142857142857,7.857142857142857,795
6.857142857142857,7.857142857142857,796
6.857142857142857,7.857142857142857,797
6.857142857142857,7.857142857142857,798
6.857142857142857,7.857142857142857,799
6.857142857142857,7.857142857142857,800
6.857142857142857,7.857142857142857,801
6.857142857142857,7.857142857142857,802
6.857142857142857,7.857142857142857,803
6.857142857142857,7.857142857142857,804
6.857142857142857,7.857142857142857,805
6.857142857142857,7.857142857142857,806
6.857142857142857,7.857142857142857,807
6.857142857142857,7.857142857142857,808
6.857142857142857,7.857142857142857,809
6.857142857142857,7.7142857142857135,810
6.857142857142857,7.7142857142857135,811
6.857142857142857,7.7142857142857135,812
6.857142857142857,7.7142857142857135,813
6.857142857142857,7.7142857142857135,814
6.857142857142857,7.7142857142857135,815
6.857142857142857,7.571428571428571,816
6.857142857142857,7.571428571428571,817
6.857142857142857,7.571428571428571,818
6.857142857142857,7.571428571428571,819
6.857142857142857,7.571428571428571,820
6.857142857142857,7.571428571428571,821
6.857142857142857,7.571428571428571,822
6.857142857142857,7.571428571428571,823
6.857142857142857,7.428571428571428,824
6.857142857142857,7.428571428571428,825
6.857142857142857,7.428571428571428,826
6.857142857142857,7.428571428571428,827
6.857142857142857,7.428571428571428,828
6.857142857142857,6.571428571428571,829
6.857142857142857,6.571428571428571,830
6.857142857142857,5.714285714285714,831
6.857142857142857,5.571428571428571,832
6.857142857142857,5.571428571428571,833
6.857142857142857,5.571428571428571,834
6.857142857142857,5.571428571428571,835
6.857142857142857,5.571428571428571,836
6.857142857142857,5.571428571428571,837
6.857142857142857,5.571428571428571,838
6.857142857142857,5.571428571428571,839
6.857142857142857,5.571428571428571,840
6.857142857142857,5.571428571428571,841
6.857142857142857,5.571428571428571,842
6.857142857142857,5.571428571428571,843
6.857142857142857,5.571428571428571,844
6.857142857142857,5.571428571428571,845
6.857142857142857,5.571428571428571,846
6.857142857142857,5.571428571428571,847
6.857142857142857,5.571428571428571,848
6.857142857142857,5.571428571428571,849
6.857142857142857,5.571428571428571,850
6.857142857142857,5.571428571428571,851
6.857142857142857,5.571428571428571,852
6.857142857142857,5.571428571428571,853
6.857142857142857,5.571428571428571,854
6.857142857142857,5.571428571428571,855
6.857142857142857,5.571428571428571,856
6.857142857142857,5.571428571428571,857
6.857142857142857,5.571428571428571,858
6.857142857142857,5.571428571428571,859
6.857142857142857,5.571428571428571,860
6.857142857142857,5.571428571428571,861
6.857142857142857,5.571428571428571,862
6.857142857142857,5.571428571428571,863
6.857142857142857,5.571428571428571,864
6.857142857142857,5.571428571428571,865
6.857142857142857,5.571428571428571,866
6.857142857142857,5.571428571428571,867
6.857142857142857,5.571428571428571,868
6.857142857142857,5.571428571428571,869
6.857142857142857,5.571428571428571,870
6.857142857142857,5.571428571428571,871
6.857142857142857,5.571428571428571,872
6.857142857142857,5.571428571428571,873
6.857142857142857,5.571428571428571,874
6.857142857142857,5.571428571428571,875
6.857142857142857,5.571428571428571,876
6.857142857142857,5.571428571428571,877
6.857142857142857,5.571428571428571,878
6.857142857142857,5.571428571428571,879
6.857142857142857,5.571428571428571,880
6.857142857142857,5.571428571428571,881
6.857142857142857,5.571428571428571,882
6.857142857142857,5.571428571428571,883
6.857142857142857,5.571428571428571,884
6.857142857142857,5.571428571428571,885
6.857142857142857,5.571428571428571,886
6.857142857142857,5.571428571428571,887
6.857142857142857,5.571428571428571,888
6.857142857142857,5.571428571428571,889
6.857142857142857,5.571428571428571,890
6.857142857142857,5.571428571428571,891
6.857142857142857,5.571428571428571,892
6.857142857142857,5.571428571428571,893
6.857142857142857,5.571428571428571,894
6.857142857142857,5.571428571428571,895
6.857142857142857,5.571428571428571,896
6.857142857142857,5.571428571428571,897
6.857142857142857,5.571428571428571,898
6.857142857142857,5.571428571428571,899
6.857142857142857,5.571428571428571,900
6.857142857142857,5.571428571428571,901
6.857142857142857,5.571428571428571,902
6.857142857142857,5.571428571428571,903
6.857142857142857,5.571428571428571,904
6.857142857142857,5.571428571428571,905
6.857142857142857,5.571428571428571,906
6.857142857142857,5.571428571428571,907
6.857142857142857,5.571428571428571,908
6.857142857142857,5.571428571428571,909
6.857142857142857,5.571428571428571,910
6.857142857142857,5.571428571428571,911
6.857142857142857,5.571428571428571,912
6.857142857142857,5.571428571428571,913
6.857142857142857,5.571428571428571,914
6.857142857142857,5.571428571428571,915
6.857142857142857,5.571428571428571,916
6.857142857142857,5.571428571428571,917
6.857142857142857,5.571428571428571,918
6.857142857142857,5.571428571428571,919
6.857142857142857,5.571428571428571,920
6.857142857142857,5.571428571428571,921
6.857142857142857,5.571428571428571,922
6.857142857142857,5.571428571428571,923
6.857142857142857,5.571428571428571,924
6.857142857142857,5.571428571428571,925
6.857142857142857,5.571428571428571,926
6.857142857142857,4.714285714285714,927
6.857142857142857,4.571428571428571,928
6.857142857142857,4.571428571428571,929
6.857142857142857,4.571428571428571,930
6.857142857142857,4.571428571428571,931
6.857142857142857,4.571428571428571,932
6.857142857142857,4.571428571428571,933
6.857142857142857,4.571428571428571,934
6.857142857142857,4.571428571428571,935
6.857142857142857,4.571428571428571,936
6.857142857142857,4.571428571428571,937
6.857142857142857,4.571428571428571,938
6.857142857142857,4.571428571428571,939
6.857142857142857,4.571428571428571,940
6.857142857142857,4.571428571428571,941
6.857142857142857,4.571428571428571,942
6.857142857142857,4.571428571428571,943
6.857142857142857,4.571428571428571,944
6.857142857142857,4.571428571428571,945
6.857142857142857,4.571428571428571,946
6.857142857142857,4.571428571428571,947
6.857142857142857,4.571428571428571,948
6.857142857142857,4.571428571428571,949
6.857142857142857,4.571428571428571,950
6.857142857142857,4.571428571428571,951
6.857142857142857,4.571428571428571,952
6.857142857142857,4.571428571428571,953
6.857142857142857,4.571428571428571,954
6.857142857142857,4.571428571428571,955
6.857142857142857,4.571428571428571,956
6.857142857142857,4.571428571428571,957
6.857142857142857,4.571428571428571,958
6.857142857142857,4.571428571428571,959
6.857142857142857,4.571428571428571,960
6.857142857142857,4.571428571428571,961
6.857142857142857,4.571428571428571,962
6.857142857142857,4.571428571428571,963
6.857142857142857,4.571428571428571,964
6.857142857142857,4.571428571428571,965
6.857142857142857,4.571428571428571,966
6.857142857142857,5.428571428571428,967
6.857142857142857,5.428571428571428,968
6.857142857142857,5.428571428571428,969
6.857142857142857,5.428571428571428,970
6.857142857142857,5.428571428571428,971
6.857142857142857,5.428571428571428,972
6.857142857142857,5.428571428571428,973
6.857142857142857,5.285714285714286,974
6.857142857142857,5.285714285714286,975
6.857142857142857,5.285714285714286,976
6.857142857142857,5.285714285714286,977
6.857142857142857,5.285714285714286,978
6.857142857142857,5.285714285714286,979
6.857142857142857,5.285714285714286,980
6.857142857142857,5.285714285714286,981
6.857142857142857,5.285714285714286,982
6.857142857142857,5.285714285714286,983
6.857142857142857,5.285714285714286,984
6.857142857142857,5.285714285714286,985
6.857142857142857,5.285714285714286,986
6.857142857142857,5.285714285714286,987
6.0,5.285714285714286,988
6.0,5.285714285714286,989
6.0,5.285714285714286,990
6.0,5.285714285714286,991
6.0,5.285714285714286,992
6.0,5.285714285714286,993
6.0,5.285714285714286,994
6.0,5.285714285714286,995
6.0,5.285714285714286,996
6.0,5.285714285714286,997
6.0,5.285714285714286,998
6.0,5.285714285714286,999
6.0,5.285714285714286,1000
6.0,5.285714285714286,1001
7.0,5.285714285714286,1002
7.0,5.285714285714286,1003
7.0,5.285714285714286,1004
7.0,5.285714285714286,1005
8.0,5.285714285714286,1006
9.0,5.285714285714286,1007
9.0,5.285714285714286,1008
9.0,5.285714285714286,1009
9.0,5.285714285714286,1010
9.0,5.285714285714286,1011
9.0,5.285714285714286,1012
9.0,5.285714285714286,1013
9.0,5.285714285714286,1014
9.0,5.285714285714286,1015
9.0,5.285714285714286,1016
9.0,5.285714285714286,1017
9.0,5.285714285714286,1018
9.0,5.285714285714286,1019
9.0,5.285714285714286,1020
9.0,5.285714285714286,1021
9.0,5.285714285714286,1022
9.0,5.285714285714286,1023
9.0,5.285714285714286,1024
9.0,5.285714285714286,1025
9.0,5.285714285714286,1026
9.0,5.285714285714286,1027
9.0,5.285714285714286,1028
9.0,5.285714285714286,1029
9.0,5.285714285714286,1030
9.0,5.285714285714286,1031
9.0,5.285714285714286,1032
9.0,5.285714285714286,1033
9.0,5.285714285714286,1034
9.0,5.285714285714286,1035
9.0,5.285714285714286,1036
9.0,5.285714285714286,1037
9.0,5.285714285714286,1038
9.0,5.285714285714286,1039
9.0,5.285714285714286,1040
9.0,5.285714285714286,1041
9.0,5.285714285714286,1042
9.0,5.285714285714286,1043
9.0,5.285714285714286,1044
9.0,5.285714285714286,1045
9.0,5.285714285714286,1046
9.0,5.285714285714286,1047
9.0,5.285714285714286,1048
9.0,5.285714285714286,1049
9.0,5.285714285714286,1050
9.0,5.285714285714286,1051
9.0,5.285714285714286,1052
9.0,5.285714285714286,1053
9.0,5.285714285714286,1054
9.0,5.285714285714286,1055
9.0,5.285714285714286,1056
9.0,5.285714285714286,1057
9.0,5.285714285714286,1058
9.0,5.285714285714286,1059
9.0,5.285714285714286,1060
9.0,5.285714285714286,1061
9.0,5.285714285714286,1062
9.0,5.285714285714286,1063
9.0,5.285714285714286,1064
9.0,5.285714285714286,1065
9.0,5.285714285714286,1066
9.0,5.285714285714286,1067
9.0,5.285714285714286,1068
9.0,5.285714285714286,1069
9.0,5.285714285714286,1070
9.0,5.285714285714286,1071
9.0,5.285714285714286,1072
9.0,5.285714285714286,1073
9.0,6.142857142857143,1074
9.0,6.142857142857143,1075
9.0,6.142857142857143,1076
8.857142857142858,6.142857142857143,1077
8.857142857142858,6.142857142857143,1078
8.857142857142858,6.142857142857143,1079
8.857142857142858,6.142857142857143,1080
8.857142857142858,6.142857142857143,1081
8.857142857142858,6.142857142857143,1082
8.857142857142858,6.142857142857143,1083
8.857142857142858,6.142857142857143,1084
8.857142857142858,6.142857142857143,1085
8.857142857142858,6.142857142857143,1086
8.857142857142858,6.142857142857143,1087
8.857142857142858,6.142857142857143,1088
8.857142857142858,6.142857142857143,1089
8.857142857142858,6.142857142857143,1090
8.857142857142858,6.142857142857143,1091
8.857142857142858,6.142857142857143,1092
8.857142857142858,6.142857142857143,1093
8.857142857142858,6.142857142857143,1094
8.857142857142858,6.142857142857143,1095
9.0,6.142857142857143,1096
9.0,6.142857142857143,1097
9.0,6.142857142857143,1098
9.0,6.142857142857143,1099
9.0,6.142857142857143,1100
9.857142857142858,6.142857142857143,1101
9.857142857142858,6.142857142857143,1102
9.857142857142858,6.142857142857143,1103
9.857142857142858,6.142857142857143,1104
9.857142857142858,6.142857142857143,1105
9.857142857142858,6.142857142857143,1106
9.857142857142858,6.142857142857143,1107
9.857142857142858,6.142857142857143,1108
9.857142857142858,6.142857142857143,1109
9.857142857142858,6.142857142857143,1110
9.857142857142858,6.142857142857143,1111
9.857142857142858,6.142857142857143,1112
9.857142857142858,6.142857142857143,1113
9.857142857142858,6.142857142857143,1114
9.857142857142858,6.142857142857143,1115
9.857142857142858,6.142857142857143,1116
9.857142857142858,6.142857142857143,1117
9.857142857142858,6.142857142857143,1118
9.857142857142858,6.142857142857143,1119
9.857142857142858,6.142857142857143,1120
9.857142857142858,6.142857142857143,1121
9.857142857142858,6.142857142857143,1122
9.857142857142858,6.142857142857143,1123
9.857142857142858,6.142857142857143,1124
9.857142857142858,6.142857142857143,1125
9.857142857142858,6.142857142857143,1126
9.857142857142858,6.142857142857143,1127
9.857142857142858,6.142857142857143,1128
9.857142857142858,6.142857142857143,1129
9.857142857142858,6.142857142857143,1130
9.857142857142858,6.142857142857143,1131
9.857142857142858,6.142857142857143,1132
9.0,6.142857142857143,1133
9.0,6.142857142857143,1134
9.0,6.142857142857143,1135
9.0,6.142857142857143,1136
9.0,6.142857142857143,1137
9.0,6.142857142857143,1138
9.0,6.142857142857143,1139
9.0,6.142857142857143,1140
9.0,6.142857142857143,1141
9.0,6.142857142857143,1142
9.0,6.142857142857143,1143
9.0,6.142857142857143,1144
9.0,6.142857142857143,1145
9.0,6.142857142857143,1146
9.0,6.142857142857143,1147
9.0,6.142857142857143,1148
9.0,6.142857142857143,1149
9.0,6.142857142857143,1150
9.0,6.142857142857143,1151
9.0,6.142857142857143,1152
9.0,6.142857142857143,1153
9.0,6.142857142857143,1154
9.0,5.285714285714286,1155
9.0,5.142857142857143,1156
9.0,5.142857142857143,1157
9.0,5.142857142857143,1158
9.0,5.142857142857143,1159
9.0,5.142857142857143,1160
9.0,5.142857142857143,1161
9.0,5.142857142857143,1162
9.0,5.142857142857143,1163
9.0,5.142857142857143,1164
9.0,5.142857142857143,1165
9.0,5.142857142857143,1166
9.0,5.142857142857143,1167
9.0,5.142857142857143,1168
8.857142857142858,5.142857142857143,1169
8.857142857142858,5.142857142857143,1170
8.857142857142858,5.142857142857143,1171
8.857142857142858,5.142857142857143,1172
8.857142857142858,5.142857142857143,1173
8.857142857142858,5.142857142857143,1174
8.857142857142858,5.142857142857143,1175
8.857142857142858,5.142857142857143,1176
8.857142857142858,5.142857142857143,1177
8.857142857142858,5.142857142857143,1178
8.857142857142858,5.142857142857143,1179
8.857142857142858,5.142857142857143,1180
8.857142857142858,5.142857142857143,1181
8.857142857142858,5.142857142857143,1182
8.857142857142858,5.142857142857143,1183
8.857142857142858,5.142857142857143,1184
9.0,5.142857142857143,1185
9.0,5.142857142857143,1186
9.0,5.142857142857143,1187
9.0,5.142857142857143,1188
9.0,5.142857142857143,1189
9.142857142857142,5.142857142857143,1190
10.142857142857142,5.142857142857143,1191
10.142857142857142,5.142857142857143,1192
10.142857142857142,5.142857142857143,1193
10.142857142857142,5.142857142857143,1194
10.142857142857142,5.142857142857143,1195
10.142857142857142,5.142857142857143,1196
10.142857142857142,5.142857142857143,1197
10.142857142857142,5.142857142857143,1198
10.142857142857142,5.142857142857143,1199
10.142857142857142,5.142857142857143,1200
10.142857142857142,5.142857142857143,1201
10.142857142857142,5.142857142857143,1202
10.142857142857142,5.142857142857143,1203
10.142857142857142,5.285714285714286,1204
10.142857142857142,5.285714285714286,1205
10.142857142857142,5.285714285714286,1206
