FUS,TAF15,EWSR1,NEAT1_position
,,,283
,,,284
,,,285
,,,286
,,,287
,,,288
,,,289
,,,290
,,,291
,,,292
,,,293
,,,294
,,,295
,,,296
,,,297
,,,298
,,,299
,,,300
,,,301
,,,302
,,,303
,,,304
,,,305
,,,306
,,,307
,,,308
,,,309
,,,310
,,,311
,,,312
,,,313
,,,314
,,,315
,,,316
,,,317
,,,318
,,,319
,,,320
,,,321
,,,322
,,,323
,,,324
,,,325
,,,326
,,,327
,,,328
,,,329
,,,330
,,,331
,,,332
,,,333
,,,334
,,,335
,,,336
,,,337
,,,338
,,,339
,,,340
,,,341
,,,342
,,,343
,,,344
,,,345
,,,346
,,,347
,,,348
,,,349
,,,350
,,,351
,,,352
,,,353
,,,354
,,,355
,,,356
,,,357
,,,358
,,,359
,,,360
,,,361
,,,362
,,,363
,,,364
,,,365
,,,366
,,,367
,,,368
,,,369
,,,370
,,,371
,,,372
,,,373
,,,374
,,,375
,,,376
,,,377
,,,378
,,,379
,,,380
,,,381
,,,382
,,,383
,,,384
,,,385
,,,386
,,,387
,,,388
,,,389
,,,390
,,,391
,,,392
,,,393
,,,394
,,,395
,,,396
,,,397
,,,398
,,,399
,,,400
,,,401
,,,402
,,,403
,,,404
,,,405
,,,406
,,,407
,,,408
,,,409
,,,410
,,,411
,,,412
,,,413
,,,414
,,,415
,,,416
,,,417
,,,418
,,,419
,,,420
,,,421
,,,422
,,,423
,,,424
,,,425
,,,426
,,,427
,,,428
,,,429
,,,430
,,,431
,,,432
,,,433
,,,434
,,,435
,,,436
,,,437
,,,438
,,,439
,,,440
,,,441
,,,442
,,,443
,,,444
,,,445
,,,446
,,,447
,,,448
,,,449
,,,450
,,,451
,,,452
,,,453
,,,454
,,,455
,,,456
,,,457
,,,458
,,,459
,,,460
,,,461
,,,462
,,,463
,,,464
,,,465
,,,466
,,,467
,,,468
,,,469
,,,470
,,,471
,,,472
,,,473
,,,474
,,,475
,,,476
,,,477
,,,478
,,,479
,,,480
,,,481
,,,482
,,,483
,,,484
,,,485
,,,486
,,,487
,,,488
,,,489
,,,490
,,,491
,,,492
,,,493
,,,494
,,,495
,,,496
,,,497
,,,498
,,,499
52.0,24.0,51.42857142857142,500
52.0,24.0,51.57142857142857,501
52.0,24.0,51.57142857142857,502
52.0,24.0,51.57142857142857,503
52.0,24.0,51.57142857142857,504
52.0,24.0,51.57142857142857,505
52.0,24.0,51.57142857142857,506
52.0,24.0,51.57142857142857,507
53.0,24.0,51.57142857142857,508
53.0,24.0,51.57142857142857,509
53.0,24.0,51.57142857142857,510
53.0,24.0,52.42857142857142,511
53.0,24.0,52.42857142857142,512
53.0,24.0,52.42857142857142,513
53.0,24.0,52.42857142857142,514
53.0,24.0,53.285714285714285,515
53.0,24.0,53.285714285714285,516
53.0,24.0,53.285714285714285,517
53.0,24.0,52.42857142857143,518
53.0,24.0,52.42857142857143,519
53.0,24.0,52.285714285714285,520
53.0,24.0,52.285714285714285,521
53.0,24.0,52.285714285714285,522
53.0,24.0,52.285714285714285,523
53.0,24.0,52.285714285714285,524
53.0,24.0,52.14285714285714,525
53.0,24.0,52.14285714285714,526
53.0,24.0,52.14285714285714,527
53.0,24.0,52.14285714285714,528
53.0,24.0,52.14285714285714,529
53.0,24.0,52.14285714285714,530
53.0,24.0,52.14285714285714,531
53.0,24.0,52.14285714285714,532
53.0,24.0,52.0,533
53.0,24.0,52.0,534
53.0,24.0,52.0,535
53.0,24.0,52.0,536
53.0,25.0,52.0,537
53.0,25.0,52.0,538
53.0,25.0,52.14285714285714,539
54.0,25.0,52.285714285714285,540
55.0,25.0,52.285714285714285,541
55.0,25.0,53.14285714285714,542
54.0,25.0,53.14285714285714,543
55.0,25.0,53.285714285714285,544
55.0,25.0,53.285714285714285,545
55.0,25.0,53.285714285714285,546
54.0,25.0,54.285714285714285,547
54.0,25.0,54.285714285714285,548
54.0,25.0,53.42857142857142,549
54.0,25.0,53.42857142857142,550
54.0,26.0,53.42857142857142,551
54.0,26.0,53.42857142857142,552
54.0,26.0,52.57142857142857,553
54.0,26.0,52.57142857142857,554
54.0,26.0,52.57142857142857,555
54.0,26.0,52.57142857142857,556
54.0,26.0,52.71428571428571,557
54.0,26.0,52.71428571428571,558
54.0,26.0,52.71428571428571,559
54.0,26.0,52.71428571428571,560
54.0,26.0,52.71428571428571,561
54.0,26.0,52.71428571428571,562
54.0,26.0,52.71428571428571,563
54.0,26.0,52.71428571428571,564
54.0,26.0,52.71428571428571,565
54.0,26.0,52.71428571428571,566
54.0,26.0,52.71428571428571,567
54.0,26.0,52.71428571428571,568
54.0,26.0,52.71428571428571,569
53.0,26.0,52.71428571428571,570
53.0,26.0,52.71428571428571,571
53.0,26.0,52.71428571428571,572
53.0,26.0,52.71428571428571,573
53.0,25.0,52.71428571428571,574
53.0,25.0,52.71428571428571,575
53.0,25.0,52.71428571428571,576
53.0,25.0,53.71428571428571,577
53.0,25.0,53.71428571428571,578
54.0,25.0,53.857142857142854,579
54.0,25.0,53.857142857142854,580
54.0,25.0,53.857142857142854,581
54.0,25.0,54.71428571428571,582
54.0,25.0,54.71428571428571,583
54.0,25.0,54.71428571428571,584
54.0,25.0,54.71428571428571,585
54.0,25.0,54.71428571428571,586
54.0,25.0,54.71428571428571,587
54.0,25.0,53.857142857142854,588
54.0,25.0,53.857142857142854,589
54.0,25.0,54.0,590
54.0,25.0,54.0,591
54.0,25.0,54.0,592
54.0,25.0,54.0,593
54.0,25.0,54.0,594
54.0,25.0,54.0,595
54.0,25.0,54.0,596
54.0,24.0,54.0,597
54.0,24.0,54.0,598
54.0,24.0,54.0,599
55.0,24.0,54.0,600
55.0,24.0,54.0,601
55.0,24.0,54.857142857142854,602
55.0,24.0,54.857142857142854,603
55.0,24.0,55.0,604
55.0,24.0,55.0,605
55.0,24.0,55.0,606
55.0,24.0,55.0,607
56.0,24.0,55.0,608
56.0,24.0,55.0,609
56.0,24.0,55.0,610
56.0,24.0,55.0,611
56.0,24.0,55.0,612
56.0,24.0,54.14285714285714,613
56.0,24.0,54.14285714285714,614
56.0,24.0,54.14285714285714,615
56.0,24.0,54.0,616
55.0,24.0,53.0,617
55.0,24.0,53.0,618
55.0,24.0,52.0,619
55.0,24.0,52.0,620
54.0,24.0,51.857142857142854,621
53.0,24.0,51.857142857142854,622
53.0,24.0,51.0,623
53.0,23.0,51.0,624
53.0,23.0,51.0,625
53.0,23.0,50.857142857142854,626
53.0,23.0,50.857142857142854,627
52.0,23.0,50.857142857142854,628
52.0,23.0,50.857142857142854,629
52.0,23.0,50.0,630
52.0,23.0,50.0,631
52.0,23.0,49.857142857142854,632
52.0,23.0,49.857142857142854,633
51.0,23.0,49.0,634
51.0,23.0,49.0,635
51.0,23.0,49.0,636
51.0,23.0,49.0,637
51.0,23.0,49.0,638
51.0,23.0,49.0,639
51.0,23.0,49.0,640
51.0,23.0,48.14285714285714,641
51.0,23.0,48.14285714285714,642
51.0,23.0,48.14285714285714,643
51.0,23.0,48.14285714285714,644
51.0,23.0,48.14285714285714,645
51.0,23.0,48.14285714285714,646
50.0,23.0,48.14285714285714,647
50.0,23.0,48.99999999999999,648
50.0,24.0,48.99999999999999,649
50.0,24.0,48.14285714285714,650
50.0,23.0,48.285714285714285,651
50.0,23.0,48.285714285714285,652
50.0,23.0,48.285714285714285,653
50.0,23.0,48.285714285714285,654
50.0,23.0,48.285714285714285,655
50.0,23.0,48.285714285714285,656
50.0,23.0,48.285714285714285,657
50.0,23.0,48.285714285714285,658
50.0,23.0,48.285714285714285,659
50.0,23.0,48.285714285714285,660
50.0,23.0,48.285714285714285,661
50.0,23.0,48.285714285714285,662
49.0,23.0,48.285714285714285,663
49.0,23.0,48.285714285714285,664
49.0,23.0,48.285714285714285,665
49.0,23.0,48.285714285714285,666
49.0,23.0,48.285714285714285,667
49.0,23.0,48.285714285714285,668
49.0,23.0,48.285714285714285,669
48.0,23.0,48.285714285714285,670
48.0,23.0,48.285714285714285,671
48.0,23.0,48.285714285714285,672
48.0,23.0,48.285714285714285,673
48.0,23.0,48.285714285714285,674
48.0,23.0,48.285714285714285,675
48.0,23.0,48.285714285714285,676
48.0,23.0,48.285714285714285,677
48.0,23.0,48.285714285714285,678
48.0,23.0,48.14285714285714,679
47.0,23.0,48.14285714285714,680
47.0,23.0,48.99999999999999,681
47.0,24.0,48.14285714285714,682
47.0,24.0,48.14285714285714,683
47.0,24.0,48.14285714285714,684
47.0,24.0,48.14285714285714,685
47.0,24.0,48.14285714285714,686
47.0,24.0,48.14285714285714,687
47.0,24.0,48.14285714285714,688
47.0,24.0,48.14285714285714,689
48.0,24.0,48.14285714285714,690
48.0,24.0,49.0,691
48.0,24.0,49.0,692
48.0,24.0,49.0,693
48.0,24.0,49.0,694
48.0,24.0,49.0,695
48.0,24.0,49.0,696
48.0,24.0,49.0,697
48.0,24.0,49.0,698
48.0,24.0,49.0,699
48.0,24.0,49.0,700
48.0,24.0,49.0,701
48.0,24.0,49.0,702
48.0,23.0,49.0,703
48.0,23.0,49.0,704
48.0,23.0,49.0,705
48.0,23.0,49.0,706
48.0,23.0,49.0,707
48.0,23.0,49.0,708
48.0,23.0,49.0,709
48.0,23.0,49.0,710
48.0,23.0,49.0,711
48.0,23.0,49.0,712
48.0,23.0,49.0,713
48.0,23.0,49.0,714
48.0,23.0,49.0,715
48.0,23.0,49.0,716
48.0,23.0,49.0,717
48.0,23.0,49.0,718
48.0,23.0,49.0,719
48.0,23.0,49.14285714285714,720
48.0,23.0,49.14285714285714,721
48.0,23.0,49.14285714285714,722
48.0,23.0,49.14285714285714,723
48.0,23.0,49.14285714285714,724
48.0,23.0,49.14285714285714,725
48.0,23.0,49.14285714285714,726
48.0,23.0,49.14285714285714,727
48.0,23.0,49.14285714285714,728
48.0,23.0,49.14285714285714,729
48.0,23.0,49.14285714285714,730
48.0,23.0,49.14285714285714,731
47.0,23.0,49.14285714285714,732
47.0,23.0,49.14285714285714,733
47.0,23.0,49.14285714285714,734
47.0,23.0,49.14285714285714,735
48.0,23.0,49.14285714285714,736
48.0,24.0,49.14285714285714,737
48.0,24.0,49.14285714285714,738
48.0,24.0,50.0,739
48.0,25.0,50.857142857142854,740
48.0,25.0,50.857142857142854,741
48.0,25.0,51.0,742
48.0,25.0,51.0,743
48.0,25.0,51.0,744
48.0,25.0,51.0,745
48.0,25.0,51.0,746
48.0,25.0,51.0,747
48.0,25.0,51.0,748
48.0,25.0,51.0,749
49.0,25.0,51.0,750
49.0,25.0,51.0,751
49.0,25.0,51.0,752
50.0,25.0,51.857142857142854,753
50.0,26.0,51.857142857142854,754
50.0,26.0,51.857142857142854,755
50.0,26.0,51.857142857142854,756
50.0,26.0,51.857142857142854,757
50.0,26.0,51.857142857142854,758
50.0,26.0,51.71428571428571,759
49.0,26.0,51.71428571428571,760
49.0,26.0,51.71428571428571,761
49.0,26.0,51.71428571428571,762
48.0,26.0,50.857142857142854,763
48.0,26.0,49.99999999999999,764
48.0,26.0,49.99999999999999,765
48.0,26.0,49.857142857142854,766
48.0,26.0,49.71428571428571,767
48.0,26.0,49.71428571428571,768
48.0,26.0,49.71428571428571,769
48.0,26.0,49.71428571428571,770
48.0,26.0,49.71428571428571,771
48.0,26.0,49.71428571428571,772
48.0,26.0,49.71428571428571,773
48.0,26.0,49.71428571428571,774
48.0,26.0,49.71428571428571,775
48.0,26.0,49.71428571428571,776
48.0,26.0,49.71428571428571,777
48.0,26.0,49.71428571428571,778
48.0,26.0,49.71428571428571,779
48.0,26.0,49.71428571428571,780
48.0,26.0,49.71428571428571,781
47.0,26.0,49.71428571428571,782
47.0,26.0,49.71428571428571,783
46.0,26.0,48.857142857142854,784
46.0,26.0,48.857142857142854,785
46.0,26.0,48.71428571428571,786
46.0,26.0,48.71428571428571,787
46.0,26.0,47.857142857142854,788
46.0,26.0,47.857142857142854,789
46.0,26.0,47.857142857142854,790
46.0,26.0,47.857142857142854,791
46.0,26.0,47.857142857142854,792
46.0,26.0,47.857142857142854,793
46.0,26.0,47.857142857142854,794
46.0,26.0,47.857142857142854,795
46.0,26.0,47.857142857142854,796
46.0,26.0,47.857142857142854,797
46.0,26.0,47.857142857142854,798
46.0,26.0,47.857142857142854,799
46.0,26.0,47.857142857142854,800
46.0,26.0,47.857142857142854,801
46.0,26.0,47.857142857142854,802
46.0,26.0,47.857142857142854,803
46.0,26.0,47.857142857142854,804
46.0,26.0,47.857142857142854,805
46.0,26.0,47.857142857142854,806
46.0,26.0,48.714285714285715,807
46.0,26.0,48.714285714285715,808
46.0,26.0,48.714285714285715,809
46.0,26.0,49.57142857142857,810
45.0,26.0,49.42857142857142,811
45.0,26.0,49.42857142857142,812
45.0,26.0,49.42857142857142,813
45.0,26.0,50.285714285714285,814
45.0,26.0,50.285714285714285,815
45.0,26.0,50.285714285714285,816
44.0,26.0,50.142857142857146,817
44.0,26.0,50.142857142857146,818
44.0,26.0,49.285714285714285,819
44.0,26.0,49.285714285714285,820
44.0,26.0,48.285714285714285,821
44.0,25.0,48.285714285714285,822
44.0,25.0,48.285714285714285,823
44.0,25.0,48.285714285714285,824
44.0,25.0,48.285714285714285,825
44.0,25.0,48.142857142857146,826
44.0,25.0,48.142857142857146,827
44.0,25.0,48.142857142857146,828
44.0,25.0,48.142857142857146,829
44.0,25.0,48.142857142857146,830
43.0,25.0,48.142857142857146,831
43.0,25.0,48.142857142857146,832
43.0,25.0,48.142857142857146,833
43.0,25.0,48.142857142857146,834
42.0,25.0,48.142857142857146,835
42.0,25.0,48.142857142857146,836
42.0,25.0,47.285714285714285,837
42.0,25.0,47.285714285714285,838
42.0,25.0,47.285714285714285,839
42.0,25.0,46.42857142857143,840
42.0,25.0,46.42857142857143,841
42.0,25.0,46.42857142857143,842
42.0,25.0,46.42857142857143,843
42.0,25.0,45.57142857142857,844
42.0,25.0,45.57142857142857,845
42.0,25.0,45.57142857142857,846
42.0,25.0,45.57142857142857,847
42.0,25.0,44.714285714285715,848
42.0,25.0,44.714285714285715,849
42.0,25.0,44.57142857142857,850
42.0,25.0,45.42857142857142,851
42.0,25.0,44.57142857142857,852
42.0,25.0,44.57142857142857,853
42.0,25.0,43.714285714285715,854
42.0,25.0,43.714285714285715,855
42.0,25.0,43.714285714285715,856
42.0,25.0,43.714285714285715,857
41.0,25.0,43.714285714285715,858
41.0,25.0,43.714285714285715,859
41.0,25.0,43.714285714285715,860
41.0,25.0,42.857142857142854,861
41.0,24.0,42.857142857142854,862
41.0,24.0,42.857142857142854,863
41.0,25.0,42.857142857142854,864
41.0,25.0,42.857142857142854,865
40.0,25.0,42.0,866
40.0,25.0,42.0,867
40.0,25.0,42.0,868
40.0,25.0,41.14285714285714,869
40.0,24.0,41.14285714285714,870
40.0,24.0,41.14285714285714,871
40.0,24.0,41.14285714285714,872
40.0,24.0,41.14285714285714,873
40.0,24.0,41.14285714285714,874
40.0,24.0,41.14285714285714,875
39.0,24.0,41.14285714285714,876
39.0,24.0,41.14285714285714,877
39.0,24.0,41.14285714285714,878
39.0,24.0,40.285714285714285,879
39.0,24.0,40.285714285714285,880
39.0,24.0,40.285714285714285,881
39.0,24.0,40.285714285714285,882
39.0,24.0,40.285714285714285,883
39.0,24.0,40.285714285714285,884
39.0,24.0,40.285714285714285,885
39.0,24.0,40.285714285714285,886
39.0,24.0,40.285714285714285,887
39.0,24.0,40.285714285714285,888
39.0,24.0,39.42857142857142,889
39.0,24.0,39.42857142857142,890
39.0,24.0,39.42857142857142,891
38.0,24.0,39.42857142857142,892
38.0,24.0,39.42857142857142,893
38.0,24.0,39.42857142857142,894
38.0,24.0,39.42857142857142,895
38.0,24.0,39.42857142857142,896
38.0,24.0,39.42857142857142,897
38.0,24.0,39.42857142857142,898
38.0,24.0,39.42857142857142,899
38.0,24.0,39.42857142857142,900
38.0,24.0,39.42857142857142,901
38.0,24.0,39.42857142857142,902
38.0,24.0,39.57142857142857,903
38.0,24.0,39.57142857142857,904
38.0,24.0,39.57142857142857,905
38.0,24.0,39.57142857142857,906
38.0,24.0,39.57142857142857,907
38.0,24.0,39.57142857142857,908
38.0,24.0,39.57142857142857,909
38.0,24.0,39.57142857142857,910
38.0,24.0,39.57142857142857,911
38.0,24.0,39.57142857142857,912
38.0,24.0,39.57142857142857,913
38.0,24.0,39.57142857142857,914
38.0,24.0,38.714285714285715,915
38.0,24.0,38.714285714285715,916
38.0,24.0,38.714285714285715,917
38.0,24.0,38.714285714285715,918
38.0,24.0,38.714285714285715,919
38.0,24.0,38.714285714285715,920
38.0,24.0,38.714285714285715,921
38.0,24.0,38.714285714285715,922
38.0,24.0,38.714285714285715,923
38.0,23.0,38.714285714285715,924
38.0,23.0,38.714285714285715,925
38.0,23.0,38.714285714285715,926
37.0,23.0,38.57142857142857,927
37.0,23.0,38.57142857142857,928
36.0,23.0,37.714285714285715,929
36.0,23.0,37.714285714285715,930
36.0,23.0,37.714285714285715,931
36.0,23.0,37.714285714285715,932
36.0,23.0,37.714285714285715,933
36.0,23.0,37.714285714285715,934
36.0,23.0,37.714285714285715,935
36.0,23.0,37.714285714285715,936
35.0,23.0,37.714285714285715,937
35.0,23.0,37.714285714285715,938
36.0,23.0,37.714285714285715,939
35.0,23.0,37.714285714285715,940
36.0,22.0,37.714285714285715,941
36.0,22.0,38.57142857142857,942
36.0,22.0,37.714285714285715,943
36.0,22.0,37.714285714285715,944
36.0,22.0,37.85714285714286,945
36.0,22.0,37.85714285714286,946
36.0,22.0,37.0,947
36.0,21.0,36.142857142857146,948
35.0,21.0,36.0,949
34.0,21.0,35.85714285714286,950
34.0,21.0,35.85714285714286,951
34.0,21.0,35.0,952
34.0,21.0,35.0,953
34.0,21.0,35.0,954
34.0,21.0,35.0,955
34.0,21.0,35.0,956
34.0,21.0,35.0,957
34.0,21.0,35.0,958
34.0,21.0,35.0,959
34.0,21.0,35.0,960
34.0,21.0,35.0,961
34.0,21.0,35.0,962
34.0,21.0,35.0,963
34.0,21.0,35.0,964
34.0,21.0,35.0,965
34.0,21.0,35.0,966
34.0,21.0,35.0,967
34.0,21.0,35.0,968
34.0,21.0,35.0,969
34.0,21.0,35.0,970
34.0,21.0,35.0,971
34.0,21.0,35.0,972
34.0,21.0,35.0,973
34.0,21.0,35.0,974
34.0,21.0,35.0,975
34.0,21.0,35.0,976
34.0,21.0,35.0,977
34.0,21.0,35.0,978
34.0,21.0,35.0,979
34.0,21.0,35.0,980
34.0,21.0,35.0,981
34.0,21.0,35.0,982
34.0,21.0,35.0,983
34.0,21.0,35.0,984
34.0,21.0,35.0,985
34.0,21.0,35.0,986
34.0,21.0,35.0,987
34.0,21.0,35.0,988
34.0,21.0,35.0,989
34.0,21.0,35.0,990
35.0,21.0,35.0,991
35.0,21.0,35.0,992
35.0,21.0,35.0,993
35.0,21.0,35.0,994
35.0,21.0,35.0,995
35.0,21.0,35.0,996
35.0,21.0,35.0,997
35.0,21.0,35.0,998
35.0,21.0,35.0,999
35.0,21.0,35.0,1000
35.0,21.0,35.0,1001
35.0,21.0,35.0,1002
35.0,21.0,35.0,1003
35.0,21.0,35.0,1004
35.0,21.0,35.0,1005
35.0,21.0,35.0,1006
35.0,21.0,34.142857142857146,1007
35.0,21.0,34.142857142857146,1008
35.0,21.0,34.142857142857146,1009
34.0,21.0,34.0,1010
34.0,21.0,34.0,1011
33.0,21.0,34.0,1012
33.0,21.0,34.0,1013
33.0,21.0,34.0,1014
33.0,21.0,34.0,1015
33.0,21.0,34.0,1016
33.0,21.0,34.0,1017
33.0,21.0,34.0,1018
33.0,21.0,34.0,1019
33.0,21.0,34.0,1020
33.0,21.0,34.0,1021
33.0,21.0,33.85714285714286,1022
33.0,21.0,33.85714285714286,1023
33.0,21.0,33.85714285714286,1024
33.0,21.0,33.0,1025
33.0,20.0,33.0,1026
33.0,20.0,33.0,1027
33.0,20.0,33.0,1028
33.0,20.0,33.0,1029
33.0,20.0,33.0,1030
33.0,20.0,33.0,1031
33.0,20.0,33.0,1032
33.0,20.0,33.0,1033
33.0,20.0,33.0,1034
33.0,20.0,33.0,1035
33.0,20.0,33.0,1036
33.0,20.0,33.0,1037
33.0,20.0,33.0,1038
33.0,20.0,33.0,1039
33.0,20.0,33.0,1040
33.0,20.0,33.0,1041
33.0,20.0,33.0,1042
33.0,20.0,33.0,1043
33.0,20.0,33.0,1044
33.0,20.0,33.0,1045
33.0,20.0,33.0,1046
33.0,20.0,33.0,1047
33.0,20.0,33.0,1048
33.0,20.0,33.0,1049
33.0,20.0,33.0,1050
33.0,20.0,33.0,1051
33.0,20.0,33.0,1052
33.0,20.0,33.0,1053
33.0,20.0,33.0,1054
33.0,20.0,33.0,1055
33.0,20.0,33.0,1056
33.0,20.0,33.0,1057
33.0,20.0,33.0,1058
33.0,20.0,33.0,1059
32.0,20.0,33.0,1060
32.0,20.0,32.142857142857146,1061
32.0,20.0,32.142857142857146,1062
32.0,20.0,32.142857142857146,1063
32.0,20.0,31.999999999999996,1064
32.0,20.0,31.999999999999996,1065
32.0,20.0,31.142857142857142,1066
31.0,20.0,31.142857142857142,1067
31.0,20.0,31.142857142857142,1068
31.0,20.0,31.142857142857142,1069
31.0,20.0,31.142857142857142,1070
31.0,20.0,31.142857142857142,1071
31.0,20.0,31.142857142857142,1072
31.0,20.0,31.142857142857142,1073
31.0,20.0,31.142857142857142,1074
31.0,20.0,31.142857142857142,1075
31.0,20.0,31.142857142857142,1076
31.0,20.0,31.142857142857142,1077
31.0,20.0,31.142857142857142,1078
31.0,20.0,31.142857142857142,1079
31.0,19.0,31.142857142857142,1080
31.0,19.0,31.142857142857142,1081
31.0,19.0,31.142857142857142,1082
31.0,19.0,31.142857142857142,1083
31.0,19.0,31.142857142857142,1084
31.0,19.0,31.142857142857142,1085
31.0,19.0,30.285714285714285,1086
31.0,19.0,30.285714285714285,1087
31.0,19.0,30.285714285714285,1088
31.0,19.0,30.285714285714285,1089
31.0,19.0,30.285714285714285,1090
31.0,19.0,30.285714285714285,1091
31.0,19.0,30.285714285714285,1092
31.0,19.0,30.285714285714285,1093
31.0,19.0,30.285714285714285,1094
31.0,19.0,30.285714285714285,1095
31.0,19.0,30.285714285714285,1096
31.0,19.0,30.285714285714285,1097
31.0,19.0,30.285714285714285,1098
31.0,19.0,30.285714285714285,1099
31.0,19.0,30.285714285714285,1100
31.0,19.0,30.285714285714285,1101
31.0,19.0,30.285714285714285,1102
31.0,19.0,30.285714285714285,1103
31.0,19.0,30.285714285714285,1104
31.0,19.0,30.285714285714285,1105
31.0,19.0,30.285714285714285,1106
31.0,19.0,30.285714285714285,1107
31.0,19.0,30.285714285714285,1108
31.0,19.0,30.285714285714285,1109
31.0,19.0,30.142857142857142,1110
30.0,19.0,30.0,1111
29.0,19.0,30.0,1112
28.0,19.0,29.142857142857142,1113
28.0,18.0,28.285714285714285,1114
28.0,18.0,28.285714285714285,1115
28.0,18.0,28.285714285714285,1116
27.0,18.0,28.142857142857142,1117
27.0,18.0,28.142857142857142,1118
27.0,18.0,28.142857142857142,1119
27.0,17.0,28.142857142857142,1120
27.0,17.0,28.142857142857142,1121
26.0,17.0,28.142857142857142,1122
26.0,17.0,28.142857142857142,1123
26.0,17.0,28.142857142857142,1124
26.0,17.0,28.142857142857142,1125
26.0,17.0,27.285714285714285,1126
26.0,17.0,27.285714285714285,1127
25.0,17.0,27.142857142857142,1128
25.0,17.0,27.142857142857142,1129
25.0,17.0,27.142857142857142,1130
25.0,17.0,27.142857142857142,1131
25.0,17.0,27.142857142857142,1132
25.0,17.0,27.142857142857142,1133
25.0,17.0,27.142857142857142,1134
25.0,17.0,27.142857142857142,1135
25.0,17.0,27.142857142857142,1136
25.0,17.0,27.142857142857142,1137
25.0,17.0,27.142857142857142,1138
25.0,17.0,27.0,1139
24.0,17.0,27.0,1140
24.0,17.0,27.0,1141
24.0,17.0,27.0,1142
24.0,17.0,27.0,1143
24.0,17.0,27.0,1144
24.0,17.0,27.0,1145
24.0,17.0,27.0,1146
24.0,17.0,27.0,1147
24.0,17.0,27.0,1148
24.0,17.0,27.0,1149
24.0,17.0,27.0,1150
24.0,17.0,27.0,1151
24.0,17.0,27.0,1152
24.0,17.0,27.0,1153
24.0,17.0,27.0,1154
24.0,17.0,27.0,1155
24.0,17.0,27.0,1156
23.0,17.0,27.0,1157
23.0,17.0,27.0,1158
23.0,17.0,26.142857142857142,1159
23.0,17.0,26.142857142857142,1160
23.0,17.0,26.0,1161
23.0,17.0,26.0,1162
23.0,17.0,26.0,1163
23.0,17.0,26.0,1164
23.0,17.0,26.0,1165
23.0,17.0,26.0,1166
23.0,17.0,26.0,1167
23.0,17.0,26.0,1168
23.0,17.0,26.0,1169
23.0,17.0,26.0,1170
23.0,17.0,26.0,1171
23.0,17.0,26.0,1172
23.0,17.0,26.0,1173
23.0,17.0,26.0,1174
22.0,17.0,26.0,1175
22.0,17.0,26.0,1176
